,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
24,JASC11,Outros,"100,00","2,49%","4,52%","0,97",271.638.000,58.723,13,"2.788,09","32,94","1,18%","0,00%","Av. Washington Soares, 3535, Bairro: Edson Queiroz/ Fortaleza-CE,Avenida Sargento Hermínio, Ceara,Av. Antônio Cabral de Souza (Rod. PE-22), Maranguape, Paulista / PE,Avenida Eusebio de Queiroz, 4759, cidade de Eusebio, estado do Ceará.,Av. 13 de maio, 755, Bairro de Fátima - Fortaleza - CE,Avenida Sargento Hermínio, Ceara,Avenida Godofredo Maciel, 2540, cidade de Fortaleza, estado do Ceará.,Avenida Francisco Sa, 2670, cidade de Fortaleza, estado do Ceará.,Avenida Bernardo Manuel, 2915, cidade de Fortaleza, estado do Ceará.,Av Deputado Oswaldo Studart com a Treze de Maio, cidade de Fortaleza, estado do Ceará,Avenida Godofredo Maciel, nº 2.560,Av. Caxangá, 3.942, Caxangá, Recife / PE,Avenida Bezerra de Menezes, 1409, cidade de Fortaleza, estado do Ceará."
25,JSRE11,Híbrido,"77,50","7,35%","7,38%","0,69",1.609.470.000,2.617.970,6,"13.626,40","1.181,80","8,67%","8,21%","Rua Eugênio de Medeiros, 303, Pinheiros, São Paulo - SP,Av. Das Nações Unidas, 14171, São Paulo - SP,Av. Das Nações Unidas, 14171, São Paulo - SP,Av. Jornalista Roberto Marinho, 85, Cidade Monções, Sao Paulo - SP,Praia de Botafogo, 440, Botafogo, Rio de Janeiro - RJ,Av. Paulista, 2064, Bela Vista, São Paulo - SP"
26,KEVE11,Residencial,"1.080,00","0,58%","4,91%","1,17",159.517.000,62.776,0,"0,00","0,00","0,00%","0,00%",
27,KNRI11,Híbrido,"157,39","7,21%","7,01%","0,98",3.802.090.000,3.684.240,19,"4.975,73","407,90","8,20%","0,22%","Rod. Dom Gabriel Paulino Bueno Couto, km 82 - Cabreúva - SP28,42,Rua Voluntários da Pátria, 113, Botafogo, Rio de Janeiro - RJ,Avenida Caminho de Goiás, 100, Rodovia Anhanguera, km 66, Jundiaí - SP,Rua Humaitá, 275, Humaitá, Rio de Janeiro - RJ,Avenida Presidente Juscelino Kubitschek, 1.830, São Paulo - SP,Estrada da Lama Preta, 2.805, Santa Cruz, Rio de Janeiro - RJ,Rua do Níquel, 205, Parque Industrial, Itaquaquecetuba - SP,Avenida dos Andradas, 3000, Santa Efigênia, Belo Horizonte - MG,Rodovia Vice Prefeito Hermenegildo Tonolli, km 2, Jundiaí - SP,Rua Gomes de Carvalho, 1.195, Vila Olimpia, São Paulo - SP,Rua Diogo Moreira, 184, São Paulo - SP,Rua Dr. Fernandes Coelho, 64, Pinheiros, São Paulo - SP,Rodovia Mogi-Dutra (SP-088), 11.100 (km 41,4), Mogi das Cruzes - SP,Rua Buenos Aires, 15, Centro, Rio de Janeiro - RJ,Avenida Parque Industrial, 580, Sumaré - SP,Av. Nações Unidas, 14.171 , São Paulo - SP,Rua Joaquim Floriano, 913, Itaim Bibi, São Paulo - SP,Avenida Paulista, 2.421, Bela Vista, São Paulo - SP,Rodovia Fernão Dias, km 863, Algodão, Pouso Alegre - MG"
28,LVBI11,Logística,"115,00","8,03%","7,74%","1,00",1.354.150.000,2.601.780,9,"3.371,93","300,42","8,91%","0,98%","Avenida Juiz Marco Tulio Isaac, 7001, Riacho Da Areia, Betim/MG, Brasil, 32671-072,Avenida Papa Joao XXIII, 3059, Loteamento Industrial Coral, Mauá/SP, Brasil, 09370-800,Rodovia Fernão Dias, KM 947.5, Extrema, MG, 37640-000,Rua Pedro De Alcantara Meira, 1001, Fazenda Velha, Araucaria/PR, Brasil, 83704-530,Avenida Portugal, 400, Itaqui, Itapevi/SP, Brasil, 06696-060,Estrada Dos Alpes, 320, Jandira, Barueri/SP, Brasil, 00006-423,Rodovia Anhanguera, km 43, Cajamar, São Paulo,Avenida Mutinga 4935, Bairro Pirituba, Pirituba, São Paulo/SP, Brasil, 05110-903,Rua Manoel Borba Gato, 100, Esplanada Das Bandeiras, Guarulhos/SP, Brasil, 07044-220"
29,NCRI11,Títulos e Val. Mob.,"8,77","10,46%","5,97%","0,86",34.641.500,19.138,0,"0,00","0,00","0,00%","0,00%",
30,OGHY11,Títulos e Val. Mob.,"10,03","5,92%","6,20%","1,04",20.812.200,2.393,0,"0,00","0,00","0,00%","0,00%",
31,ONEF11,Lajes Corporativas,"193,97","5,94%","5,84%","0,84",176.707.000,48.536,1,"25.340,80","1.876,10","7,40%","0,00%","Rua Ministro Jesuino Cardoso, 454, São Paulo- SP"
32,OULG11,Logística,"41,05","4,00%","6,41%","0,61",101.857.000,51.134,2,"1.114,48","100,28","9,00%","0,00%","Rod. Washington Luiz, km 114, Via Projetada Aterial PD04, nº 3777,Lote nº 21 - Distrito Industrial - Bairro Benfica - Juiz de Fora/MG"
33,PATC11,Lajes Corporativas,"73,49","4,30%","5,33%","0,95",255.557.000,879.103,7,"18.627,70","1.062,69","5,70%","2,90%","Rua Ministro Jesuíno Cardoso, 454, Vila Olímpia, São Paulo - SP,Avenida Brigadeiro Faria Lima, 3311, Itaim Bibi, São Paulo - SP.,Rua Fidêncio Ramos, 308, Vila Olímpia, São Paulo - SP,Rua Pascoal Pais, 525 - São Paulo,Alameda Vicente Pinzon, 51, Vila Olímpia, São Paulo - SP,R. Gomes de Carvalho, 1996, Vila Olímpia, São Paulo - SP,Avenida Paulista, 1.842 - São Paulo"
34,PVBI11,Lajes Corporativas,"97,36","2,64%","7,15%","0,95",1.182.170.000,4.008.070,4,"17.807,70","1.333,43","7,49%","0,35%","Avenida Brigadeiro Luis Antonio, 3521, Jardim Paulista, Sao Paulo/SP, Brasil, 01401-001,Rua Leopoldo Couto Magalhães Júnior, 822, Itaim Bibi, São Paulo/SP, Brasil, 04542-000,Rua Fidêncio Ramos, 302, Vila Olímpia, Sao Paulo/SP, Brasil, 04551-010,Avenida Brigadeiro Faria Lima, 4440, Itaim Bibi, São Paulo/SP, Brasil, 04538-132"
35,RBRP11,Outros,"57,50","7,56%","6,86%","0,72",700.303.000,1.094.540,11,"9.271,58","741,59","8,00%","32,32%","Alameda Grajaú, nº 98 – Alphaville Industrial, Barueri/SP,Rua Cincinato Braga, 340 - Bela Vista - São Paulo - SP,Rua Amauri, 299, 311 (lojas) e 305 (entrada), Jardim Paulistano.,Rua Ministro Jesuíno Cardoso 589 x Cel. Joaquim Ferreira Lobo, 360,Rua Gomes de Carvalho, 1.356, São Paulo - SP,Avenida Venezuela, 43 - Saúde - Rio de Janeiro - RJ,Av. República do Chile, 230 – Centro, Rio de Janeiro - RJ,Rua Gerivatiba, esquina com a Rua Pirajussara, nºs 71,
87 e 95, com frente também para a Rua Desembargador Armando Fairbanks, nº 32,
Pinheiros, São Paulo – SP.,Av. Brigadeiro Faria Lima nº 1.461, Pinheiros, São Paulo/SP,Rua Casa do Ator, 1.155 - Vila Olímpia - São Paulo - SP,Avenida João Dias n° 1.645 - Santo Amaro, São Paulo - SP"
36,RCRB11,Lajes Corporativas,"144,00","3,23%","6,09%","0,69",531.460.000,682.458,9,"12.958,00","980,41","7,57%","18,66%","Rua Girassol, 555 – Vila Madalena,Rua da Candelária nº 65, Centro, Rio de Janeiro/RJ,Avenida Paulista, 37, São Paulo/SP,Rua Surubim, 373, Brooklin Novo, São Paulo/SP,Alameda Santos, 1.800 - Jardins,Alameda Santos, 1163, Cerqueira César, São Paulo/SP,Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ,Rua Olimpiadas. 205, São Paulo SP,Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP"
37,RMAI11,Híbrido,"48,00","1,64%","6,46%","0,48",117.302.000,59.122,2,"2.809,94","159,88","5,69%","38,25%","Avenida Armando Morais Sarmento, nº 100, Distrito Industrial de Queimados, Cidade de Queimados, Estado do Rio de Janeiro ,Rua José Versolato, 111, Centro, São Bernardo do Campo/SP."
38,RZAT11,Híbrido,"94,81","13,16%","6,25%","0,95",351.571.000,823.538,10,"774,03","65,74","8,49%","0,00%","Rua Professor Luciano Prata 204, São Paulo, SP, 02510-020,Av. Costa e Silva 1275, Campo Grande, MS, 79050-410,Av. Perimetral Norte 10001, Goiânia, GO, 74583-285,Rod. Juscelino Kubitscheck de Oliveira - BR 364, Frutal, MG, 38200-000,Rodovia BR 060 KM 504, Goiânia, GO, 75800-001,Rodovia BR 020 572, Caucaia, CE, 061663-015,Rodovia GO-070, Km 2 Qd. CH, Lt. 444, , Goiânia, GO, 74470-260,Avenida Juscelino Kubitschek De Oliveira, 154, Blocos A, B, C, Centro, Votorantim/SP, Brasil, 18110-901,Rodovia Washington Luis KM 198, Corumbataí, SP, 13540-000,Av. Santos Dumont 4305, Mirassol, SP, 15135-160"
39,SCPF11,Shoppings,"5,19","4,98%","5,09%","0,44",21.798.000,3.369,1,"4.477,47","774,77","17,30%","23,89%","Rua Junqueira Ayres, 165 - Barris - Salvador - BA"
40,SHPH11,Shoppings,"750,00","6,49%","5,88%","0,84",456.713.000,172.085,1,"13.217,20","1.101,84","8,34%","8,95%","Rua Dr. Veiga Filho, 133, Higienópolis, São Paulo - SP"
41,TEPP11,Lajes Corporativas,"85,15","1,93%","7,05%","0,89",359.500.000,908.432,5,"10.479,90","415,40","3,96%","8,35%","Rua Paes Leme, 524, no 45º Subdistrito – Pinheiros, São Paulo – SP,Rua Treze de Maio, nº 1.633 – Bela Vista – São Paulo – SP, Rua Itapeva, nº 538 – Bela Vista – São Paulo, SP,Rua James Joule, 65 - Berrini - São Paulo - SP,Av. Presidente Juscelino Kubitschek, 1830 e Rua Leopoldo Couto de Magalhês Júnior, 1461, no 28º Subdistrito - Jardim Paulista, São Paulo - SP"
42,TRNT11,Lajes Corporativas,"114,90","4,07%","4,05%","0,58",452.196.000,33.284,1,"7.169,44","564,73","7,88%","41,63%","Avenida Das Nacoes Unidas, 12901, Sem Complemento, Brooklin Paulista, São Paulo/SP, Brasil, 04578-910"
43,VILG11,Logística,"105,44","7,27%","7,75%","0,94",1.581.330.000,2.044.900,16,"2.676,10","245,31","9,17%","9,10%","Cidade de Cariacica, n° 10.288, km 290, RD. Governador Mario Covas - ES,Município de Serra, no estado do Espírito Santo,Rodovia Fernão Dias, km 933, Extrema - MG,Av. Marginal Rodovia dos Bandeirantes, Nº 800, Jundiaí - SP,Rodovia Br 316 - KM 23/24
Bairro Campestre - Benevides/PA,Cidade de Eldorado do Sul, na Av. Industrial Belgraf, n° 765 - RS,Avenida das Quaresmeiras, n. 200, Pouso Alegre - MG,Rodovia Armínio Guilherme, 82 – Ipojuca, PE,Cidade Cachoeirinha, Rio Grande do Sul, RS 118, nº 12760,R. Almerim, 100, Guarulhos - SP,Rua Kida, 191 - Guarulhos - São Paulo, Rodovia BR-493 (RioMagé), km 3,5, Duque de Caxias - RJ,Rodovia Fernão Dias, km 891,5, Extrema - MG,Av. Dr. Kenkiti Shimomoto, Nº 1.678, Osasco - SP,Rodovia Castello Branco, km 57, em São Roque, SP,Est. Vargem do João Pinto, Fazenda Matão Gleba 2, Extrema - MG"
44,WTSP11B,Híbrido,"35,05","-16,16%","4,26%","0,48",34.789.400,298,1,"2.849,50","127,16","4,46%","5,69%","Av. das Nações Unidas, 12551, 12555 e 12559"
45,XPLG11,Logística,"112,12","7,57%","7,80%","0,99",3.038.570.000,3.995.140,18,"2.451,10","185,77","7,58%","5,01%","Rua Lennie Queiroz, 333 - Cachoeirinha - RS,Rua Joao de Padula, 245 - Americana - SP,km 26 + 175,35m e o km 25 + 759,35m da Rodovia Anhanguera,ROD BR101, Sul Km 96,4, 5.225 - Cabo de Santo Agostinho, PE,Bairro dos Tenentes no Município de Extrema/MG ,Rod. dos Bandeirantes, km 34,Rod. dos Bandeirantes, km 34 - Cajamar, SP,ROD BR101, Sul Nº 2.220 - Cabo de Santo Agostinho, PE,Estrada Tenente Marques, 1818 - Santana de Parnaiba - SP,Avenida Osvaldo José do Amaral, SN - Areias São José - SC,Bairro dos Tenentes no Município de Extrema/MG ,Estrada Miguel Pereira nº 34, Bairro São Miguel, CEP: 23.890-000,Via Jose Luiz Galvão, 1905 - Ribeirão Preto - SP,Avenida Ceci, 1649 - Barueri - SP,Avenida OL-1 -Duque de Caxias, RJ,Estrada Municipal do Mandu, 2550 - Itapeva - MG,Rod. dos Bandeirantes, km 34,Bairro dos Tenentes no Município de Extrema/MG"
46,YUFI11,Residencial,"80,84","3,91%","4,47%","0,80",39.825.800,943,28,"8.801,58","882,44","10,03%","0,00%","Pc Amadeu Amaral, 84 - Bela Vista, SP,Rua Navarro de Andrade, 320, Pinheiros - SP,Rua Dr. Fausto Ferraz, 115 , Paraíso - SP,Rua Joaquim Antunes, 922, Pinheiros - SP,Rua Acaraú, 51 , Bela Vista - SP,Rua da Consolação, 2143 - Consolação - SP,Rua Bartolomeu Feio, 66, Brooklin - SP,Al. Franca - 270, Jardim Paulista - SP,Av. Paulista, 347, Paraíso - SP,Rua Guilherme Barbosa de Melo, 84, Brooklin - SP,Rua Treze de Maio, 1483, Paraíso - SP,Av. Rebouças, 1480 - Pinheiros, SP,Rua Una, 56, Bela Vista - SP,Rua Dr. Fausto Ferraz, 115 , Paraíso - SP,Al Campos, 1126, Jardim Paulista - SP,Rua Bartolomeu Feio, 66, Brooklin - SP,Al. Gabriel Monteiro da Silva, Jardim América - SP,Rua Paula Ney, 475, Vila Mariana - SP,Rua José do Patrocínio, 645, Aclimação - SP,Av. Brigadeiro Luís Antonio, 1622, Paraíso - SP,Pc Amadeu Amaral, 84 - Bela Vista , SP,Rua Arruda Alvim, 36, Pinheiros - SP,Rua Dr. Fausto Ferraz, 115 , Paraíso - SP,Rua Lisboa, 104, Pinheiros - SP,Rua Treze de Maio, 1412, Bela Vista - SP,Rua Alvorada, 795, Vila Olímpia - SP,Rua Florida, 1350, Cidade Monções - SP,Rua Dr. Plinio Barreto, 249, Bela Vista - SP"
47,ZAVI11,Híbrido,"125,80","5,82%","6,99%","0,99",116.556.000,67.230,8,"2.234,04","163,12","7,30%","1,10%","Rodovia Contorno Norte, nº 305, Colombo-PR, CEP 83402-335,Rua Tabapuã, 41, Itaim Bibi, São Paulo - SP, CEP 04533-010, Rua Attílio Bilibio, nº 685, Nova Bassano - RS, CEP 95340-000,Avenida Andrômeda, 1669, Jardim Satélite, São José dos Campos - SP, CEP 12230-000,Rua Santa Luzia, 579, Vila Santa Luzia, Taboão da Serra - SP, CEP 06754-005,Avenida Andrômeda, 1679, Jardim Satélite, São José dos Campos - SP, CE: 12230-000,Av. Moita Bonita, nº 266, Guarulhos - SP, CEP 07270-395,Rua Proessor Sarmento Barata, nº 297, Porto Alegre-RS, CEP 90240-640."
